Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8872109,9923085,10057698,10175214,10278887,10353442,10415811,10486941,10536632,10569709,..
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,7184250,8373338,8451840,8514329,8575280,8638167,8704546,8777088,8888822,9005582,..
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12579208,16637888,19193834,19224668,19577845,20353534,21049429,21628839,22462173,23594623,24672760,..
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5398768,6284735,8865631,9085946,9307333,9529966,9749310,9966908,10182222,10389799,10590927,..
"Population, total",SP.POP.TOTL,Tanzania,TZA,26110207,34260139,53824013,55652890,57437145,59174891,60972798,62830412,64711821,66617606,68560157,..
"Population, total",SP.POP.TOTL,Thailand,THA,54738329,63007815,70859841,71160187,71376079,71522271,71641484,71727332,71735329,71702435,71668011,..
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,760345,745088,1228312,1251703,1275959,1300945,1326053,1350139,1369295,1384286,1400638,..
"Population, total",SP.POP.TOTL,Togo,TGO,3998761,5140037,7858289,8057140,8258778,8463068,8669720,8878379,9089738,9304337,9515236,..
"Population, total",SP.POP.TOTL,Tonga,TON,99700,102677,105524,105356,105567,105669,105704,105490,105042,104597,104175,..
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1252208,1319774,1353895,1356633,1359193,1363985,1366725,1367558,1365805,1367510,1368333,..
"Population, total",SP.POP.TOTL,Tunisia,TUN,8324509,9764935,11528674,11650498,11765514,11875081,11974057,12048622,12119334,12200431,12277109,..
"Population, total",SP.POP.TOTL,Turkiye,TUR,56015628,65425961,79277962,80312698,81407204,82579440,83384680,84147318,84979913,85325965,85518661,..
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3760562,4582677,6360041,6507061,6655524,6803944,6949912,7092043,7230193,7364438,7494498,..
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,11688,18730,38315,39913,41559,43166,44386,45243,45847,46198,46535,..
"Population, total",SP.POP.TOTL,Tuvalu,TUV,8798,9544,10930,10869,10751,10581,10399,10194,9992,9816,9646,..
"Population, total",SP.POP.TOTL,Uganda,UGA,17569897,24000150,38799152,40177388,41565831,42999637,44457152,45910930,47312719,48656601,50015092,..
"Population, total",SP.POP.TOTL,Ukraine,UKR,52054092,49556660,45616832,45436041,45208907,44957458,44680014,44298640,41048766,37732836,37860221,..
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1898220,3493575,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751,10986400,..
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,65607000,65966000,66289000,66631000,66744000,66984000,67604000,68492000,69226000,..
"Population, total",SP.POP.TOTL,United States,USA,249623000,282162411,324353340,326608609,328529577,330226227,331577720,332099760,334017321,336806231,340110988,..
"Population, total",SP.POP.TOTL,Uruguay,URY,3104403,3266206,3379283,3388438,3394534,3397206,3398968,3396695,3390913,3388081,3386588,..
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20464956,24787054,31284568,31819178,32373490,32964701,33586372,34243696,34938955,35652307,36361859,..
"Population, total",SP.POP.TOTL,Vanuatu,VUT,148063,186281,272087,278507,285259,291985,298858,305868,313046,320409,327777,..
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19827010,24526708,30765720,30565323,29807592,28938098,28444077,28237826,28213017,28300854,28405543,..
"Population, total",SP.POP.TOTL,Viet Nam,VNM,65504552,77154011,94000117,95176977,96237319,97173776,98079191,98935098,99680655,100352192,100987686,..
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,108642,107516,107281,107001,106669,106290,105870,105413,104917,104377,..
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,1978248,2922153,4367088,4454805,4569087,4685306,4803269,4922749,5043612,5165775,5289152,..
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,13887862,19624141,32109010,33090921,34085182,35111408,36134863,37140230,38222876,39390799,40583164,..
"Population, total",SP.POP.TOTL,Zambia,ZMB,7786169,10017631,16914423,17441320,17973569,18513839,19059395,19603607,20152938,20723965,21314956,..
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10137281,11892055,14600294,14812482,15034452,15271368,15526888,15797210,16069056,16340822,16634373,..
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,311748681,406156661,623369401,640058741,657801085,675950189,694446100,713090928,731821393,750491370,769280888,..
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,209566031,274968446,429454743,440882906,452195915,463365429,474569351,485920997,497387180,509398589,521764076,..
"Population, total",SP.POP.TOTL,Arab World,ARB,223184294,286548096,419808341,428315886,435998060,444281315,453723239,460646603,471352066,482105978,492612632,..
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,3654949,3956229,4341333,4366140,4407658,4443134,4459302,4479167,4497310,4519904,4539060,..
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,110743128,108447824,102647939,102337501,102074201,101864274,101215763,100205732,100071871,100183707,100061963,..
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,2044241467,2509431470,3233033717,3274060446,3314245247,3355014793,3396051187,3432026092,3470644834,3511607650,3552278604,..
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,1817735909,2050149617,2317076058,2333475520,2347576325,2359762190,2369420882,2375117716,2379617118,2384441485,2388319494,..
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,1600739173,1819011507,2071486140,2087238522,2100698838,2112289891,2121866294,2128553744,2133560408,2137527754,2141122258,..
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,1579651917,1795374943,2045816761,2061449949,2074796982,2086281644,2095759417,2102350702,2107261123,2111139152,2114653077,..
"Population, total",SP.POP.TOTL,Euro area,EMU,316087007,325789631,344132977,344810179,345864630,346496601,346986142,347207191,348200155,349762722,351161936,..
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,845290251,865392479,911579016,915065824,918689254,921932163,923664467,924381062,924234471,924773523,928263208,..
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,208212866,218486598,242224182,244308649,246400484,248576676,250351240,251867727,250514347,248721385,250281521,..
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,430990546,438423541,455913002,458010325,459946883,461933206,462842288,463104389,460942269,458602212,459734030,..
"Population, total",SP.POP.TOTL,European Union,EUU,420525030,429339162,444676652,445321060,446329890,446910453,446870959,446227358,447202673,448897545,450228188,..
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,486723712,621080692,910836458,931222867,951851595,973035228,994901090,1016906998,1036390026,1057033168,1081767572,..
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,361657937,481984327,756895035,779389964,802020674,824649053,847743308,870930036,893906294,917304254,941413026,..
"Population, total",SP.POP.TOTL,High income,HIC,1182189938,1255696330,1374284415,1380319892,1385103279,1389770301,1393472875,1391814501,1398001706,1408190184,1417841927,..
"Population, total",SP.POP.TOTL,IBRD only,IBD,3455533853,3983328255,4721566970,4765773411,4806981820,4845075024,4878296727,4905212516,4928196300,4952212190,4979421568,..
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,4330689753,5116723507,6360153661,6440011821,6518058354,6594216452,6666470352,6732651035,6794724390,6858521511,6926222113,..
"Population, total",SP.POP.TOTL,IDA blend,IDB,300366368,394129957,578463670,590024074,601951913,614017319,626440308,639196319,651895919,664395892,676957651,..
"Population, total",SP.POP.TOTL,IDA only,IDX,574789532,739265295,1060123021,1084214336,1109124621,1135124109,1161733317,1188242200,1214632171,1241913429,1269842894,..
"Population, total",SP.POP.TOTL,IDA total,IDA,875155900,1133395252,1638586691,1674238410,1711076534,1749141428,1788173625,1827438519,1866528090,1906309321,1946800545,..
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,1844718134,2043581322,2270841806,2285870134,2298394042,2308878047,2316152451,2320127638,2323799591,2326296729,2328628339,..
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,440958144,520272118,624737786,630414986,635778081,640962372,645498186,649236072,653108120,657616517,662186388,..
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,392413347,462953688,556440282,561957179,567711159,573311679,578091505,581884231,585648822,589889543,594158638,..
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,426091608,504556065,609017063,614776664,620274430,625467307,630051021,633862610,637837815,642397939,647003746,..
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,519693837,673630102,985414939,1008993468,1033110314,1058013514,1083636132,1109175268,1134585604,1160824674,1187777591,..
"Population, total",SP.POP.TOTL,Low & middle income,LMY,4049620054,4814250279,6017111688,6093971714,6169658713,6243562839,6313913801,6378323939,6437946207,6498875200,6563501708,..
"Population, total",SP.POP.TOTL,Low income,LIC,245338485,322668237,501149314,514890519,529522043,544980983,560643073,576076618,591481496,607774703,624608098,..
"Population, total",SP.POP.TOTL,Lower middle income,LMC,1711634869,2126559759,2806590212,2847931114,2888561818,2928617292,2968398856,3006243027,3043358377,3082002881,3120980912,..
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan",MEA,383279026,494850317,707023525,718887744,730362334,742714463,756405281,767578451,782349366,797801454,813146136,..
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,361322200,462980522,645837915,656767614,668447432,680490997,692532027,704458802,716508657,729077445,741690916,..
"Population, total",SP.POP.TOTL,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,359343952,460058369,641470827,652312809,663878345,675805691,687728758,699536053,711465045,723911670,736401764,..
"Population, total",SP.POP.TOTL,Middle income,MIC,3804281569,4491582042,5515962374,5579081195,5640136670,5698581856,5753270728,5802247321,5846464711,5891100497,5938893610,..
"Population, total",SP.POP.TOTL,North America,NAC,277371697,312909691,360527592,363217262,365666028,367908829,369670740,370404272,373018004,376954413,381464223,..
"Population, total",SP.POP.TOTL,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Population, total",SP.POP.TOTL,OECD members,OED,1107695519,1202226474,1340142055,1348127258,1356470975,1364146219,1369310195,1371785073,1378565677,1387897706,1396877448,..
"Population, total",SP.POP.TOTL,Other small states,OSS,8949306,9788238,11851918,11989367,12135267,12281907,12417333,12541889,12699005,12822134,12931878,..
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,1775607,2042274,2477794,2509999,2542009,2568656,2595522,2625493,2656049,2689224,2722467,..
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,964371624,1021150563,1102966925,1107161559,1111377470,1114898817,1117007476,1116582773,1117394729,1121315547,1128377826,..
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,422471117,562428025,895239872,920568701,946317177,972302503,998624261,1024960313,1051201551,1078224044,1105951788,..
"Population, total",SP.POP.TOTL,Small states,SST,14379862,15786741,18671045,18865506,19084934,19293697,19472157,19646549,19852364,20031262,20193405,..
"Population, total",SP.POP.TOTL,South Asia,SAS,1013297018,1237185482,1555111864,1572520427,1589164714,1605412986,1621073417,1634785356,1648009565,1662580579,1677384532,..
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1013297018,1237185482,1555111864,1572520427,1589164714,1605412986,1621073417,1634785356,1648009565,1662580579,1677384532,..
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,521314712,681125107,1052824144,1080941647,1109997000,1139315618,1169015451,1199011925,1229208573,1259889959,1291044964,..
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,473635450,613632482,946011305,971179323,997236086,1023480610,1049999318,1076774079,1103704408,1131078494,1158863843,..
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,521314712,681125107,1052824144,1080941647,1109997000,1139315618,1169015451,1199011925,1229208573,1259889959,1291044964,..
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2092646700,2365022283,2709372162,2731150081,2751574852,2769964564,2784871872,2796004294,2803106334,2809097616,2817912698,..
"Population, total",SP.POP.TOTL,World,WLD,5299246757,6161884811,7528879985,7614523410,7697233736,7778008621,7854748424,7920514854,7989545217,8064057930,8141808945,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,
