Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,36684063,50507442,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265,..
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2380560,3151345,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961,..
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3121706,3937739,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525,5129910,..
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,12189778,17699004,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4777368,4468302,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686,3866200,..
"Population, total",SP.POP.TOTL,Cuba,CUB,10631799,11109109,11265612,11247829,11227118,11202846,11176354,11122168,11059820,11019931,10979783,..
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,133860,159664,160175,159336,157441,155482,153948,153321,154654,155967,..
"Population, total",SP.POP.TOTL,Cyprus,CYP,788351,947667,1237112,1254275,1270737,1286671,1302247,1317309,1331370,1344976,1358282,..
"Population, total",SP.POP.TOTL,Czechia,CZE,10333355,10255063,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10864042,10905028,..
"Population, total",SP.POP.TOTL,Denmark,DNK,5140939,5339616,5728010,5764980,5793636,5814422,5831404,5856733,5903037,5946952,5976992,..
"Population, total",SP.POP.TOTL,Djibouti,DJI,579538,747318,1037653,1054841,1071882,1088709,1105188,1121248,1137096,1152944,1168722,..
"Population, total",SP.POP.TOTL,Dominica,DMA,69627,68511,69606,68496,68174,67880,67573,67202,66826,66510,66205,..
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,7151166,8584190,10551430,10666843,10782053,10894043,11008300,11123476,11230734,11331265,11427557,..
"Population, total",SP.POP.TOTL,Ecuador,ECU,10473673,12689206,16505139,16759519,17049547,17340021,17546065,17682454,17823897,17980083,18135478,..
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,58396618,73083284,101644589,103696057,105682094,107553158,109315124,110957008,112618250,114535772,116538258,..
"Population, total",SP.POP.TOTL,El Salvador,SLV,5399726,5943366,6200800,6213533,6219807,6222318,6234673,6255782,6280319,6309624,6338193,..
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,474274,703279,1508186,1562396,1616422,1670177,1716468,1758786,1803545,1847549,1892516,..
"Population, total",SP.POP.TOTL,Eritrea,ERI,2032737,2247031,3124698,3150347,3192760,3240194,3291271,3350183,3409447,3470390,3535603,..
"Population, total",SP.POP.TOTL,Estonia,EST,1569174,1396985,1315790,1317384,1321977,1326898,1329522,1330932,1348840,1370286,1372341,..
"Population, total",SP.POP.TOTL,Eswatini,SWZ,872428,1041414,1149507,1158195,1168929,1179874,1192729,1206593,1218917,1230506,1242822,..
"Population, total",SP.POP.TOTL,Ethiopia,ETH,47609755,67411494,106718162,109666481,112664152,115737383,118917671,122138588,125384287,128691692,132059767,..
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47740,45754,49464,50180,50996,51792,52565,53296,53912,54414,54681,..
"Population, total",SP.POP.TOTL,Fiji,FJI,773316,840909,919166,918759,917180,914899,914963,916711,919422,924145,928784,..
"Population, total",SP.POP.TOTL,Finland,FIN,4986431,5176209,5495303,5508214,5515525,5521606,5529543,5541017,5556106,5583911,5619911,..
"Population, total",SP.POP.TOTL,France,FRA,58261012,60918661,66724104,66918020,67158348,67382061,67601110,67842811,68184457,68372286,68551653,..
"Population, total",SP.POP.TOTL,French Polynesia,PYF,203776,240337,279178,280087,279815,279034,279209,279792,280378,281118,281807,..
"Population, total",SP.POP.TOTL,Gabon,GAB,983734,1275572,2100306,2156900,2212318,2267706,2322539,2376722,2430747,2484789,2538952,..
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1054696,1455084,2283769,2342189,2399632,2456844,2515733,2576010,2636470,2697845,2759988,..
"Population, total",SP.POP.TOTL,Georgia,GEO,4802000,4077131,3727505,3728004,3726549,3720161,3722716,3708610,3712502,3715483,3699557,..
"Population, total",SP.POP.TOTL,Germany,DEU,79433029,82211508,82348669,82657002,82905782,83092962,83160871,83196078,83177813,83287273,83516593,..
"Population, total",SP.POP.TOTL,Ghana,GHA,15394648,19637087,29356742,30008354,30637585,31258945,31887809,32518665,33149152,33787914,34427414,..
